"query","search interest","increase percent"
"jobs",100,"-20%"
"support worker jobs",96,"-20%"
"care support worker",44,"1%"
"nhs",30,"-6%"
"support worker nhs",30,"-3%"
"support worker job",28,"-1%"
"nhs support worker",28,"-10%"
"family support worker",24,"10%"
"mental health support",19,"1%"
"mental health support worker",18,"10%"
"social worker",18,"30%"
"social support worker",17,"20%"
"healthcare support worker",17,"2%"
"what is a support worker",15,"30%"
"nhs support worker jobs",13,"-10%"
"nhs jobs",13,"-10%"
"health care support worker",12,"0%"
"support worker near me",11,"-10%"
"support worker role",10,"-7%"
"support worker salary",10,"20%"
"residential support worker",9,"7%"
"clinical support worker",9,"20%"
"bank support worker",9,"5%"
"children support worker",8,"20%"
"jobs near me",8,"-20%"
"support worker jobs near me",8,"-20%"
"community support worker",8,"20%"
"family support worker jobs",8,"-2%"
"senior support worker",8,"-3%"
"mental health support worker jobs",7,"0%"
"support worker jobs london",7,"-10%"
"maternity support worker",7,"-10%"
"child support worker",6,"8%"
"indeed",6,"-20%"
"night support worker",6,"2%"
"support worker meaning",6,"-6%"
"support worker roles",6,"2%"
"support worker training",6,"30%"
"peer support worker",6,"-10%"
"agency support worker",5,"0%"
"healthcare support worker jobs",5,"-7%"
"support worker agency",5,"-1%"
"housing support worker",5,"3%"
"disability support worker",4,"40%"
"support worker interview questions",4,"-30%"
"youth support worker",4,"-3%"
"what does a support worker do",4,"20%"
"indeed jobs",4,"-20%"
"how to get a support worker",4,"40%"
"apprenticeship",4,"-7%"
