"query","search interest","increase percent"
"carer support payment",100,"1%"
"carers support",74,"-1%"
"support worker",40,"2%"
"carer allowance",36,"-20%"
"carer support payment scotland",31,"20%"
"carers support payment",25,"-10%"
"carer support services",21,"40%"
"carers allowance",20,"-30%"
"universal credit",18,"-5%"
"foster carer support",13,"50%"
"carers support payment scotland",9,"-1%"
"carers credit",8,"-40%"
"social security",6,"30%"
"carer support grant",6,"-10%"
"council tax support",6,"20%"
"social security scotland",6,"50%"
"carer meaning",5,"-30%"
"universal credit carer element",4,"-7%"
"carers allowance scotland",4,"-40%"
"the vocal or active opposition to our fundamental values, including calling for the death of members of the armed forces is known",4,"1%"
"what is the name of the 'operation' that operates in all police services in england and aims to enable schools to offer immediate support to children experiencing domestic abuse?",3,"-20%"
"carer support wiltshire",3,"-2%"
"attendance allowance",3,"-5%"
"what is the name of the multi-agency partnership that receives prevent referrals?",3,"-30%"
"pension credit",3,"-10%"
"parent carer forum",2,"30%"
"carer jobs near me",2,"20%"
"carer premium",2,"-30%"
"carer additional person payment",1,"Breakout"
