"Time","support worker","care assistant"
"2025-08-17",83,45
"2025-08-24",66,45
"2025-08-31",86,52
"2025-09-07",83,49
"2025-09-14",84,50
"2025-09-21",84,50
"2025-09-28",93,47
"2025-10-05",92,51
"2025-10-12",94,51
"2025-10-19",80,50
"2025-10-26",75,45
"2025-11-02",85,52
"2025-11-09",84,55
"2025-11-16",88,55
"2025-11-23",91,49
"2025-11-30",83,52
"2025-12-07",85,56
"2025-12-14",84,51
"2025-12-21",55,33
"2025-12-28",65,45
"2026-01-04",95,54
"2026-01-11",95,57
"2026-01-18",100,58
"2026-01-25",95,56
"2026-02-01",97,59
"2026-02-08",91,58
"2026-02-15",80,46
"2026-02-22",85,48
"2026-03-01",88,53
"2026-03-08",92,55
"2026-03-15",88,51
"2026-03-22",89,60
"2026-03-29",86,51
"2026-04-05",78,47
"2026-04-12",90,58
"2026-04-19",93,54
"2026-04-26",85,48
"2026-05-03",90,53
"2026-05-10",94,58
"2026-05-17",90,55
"2026-05-24",76,47
"2026-05-31",91,51
"2026-06-07",85,47
"2026-06-14",81,48
"2026-06-21",86,53
"2026-06-28",90,56
"2026-07-05",84,52
"2026-07-12",86,52
"2026-07-19",87,52
"2026-07-26",89,55
"2026-08-02",89,53
"2026-08-09",86,52
"2026-08-16",94,59
